"","id","date","confirmed","death","cured","serious","negative","suspected","tested","test_done","england","scotland","wales","nireland"
"64","64","1.585868e+12","33718","2921","135","0","129476","0","NULL","NULL","28221","2602","2121","774"
"65","65","1.585954e+12","38168","3605","135","0","135616","0","NULL","NULL","31797","3001","2466","904"
"66","66","1.586041e+12","41903","4313","135","0","141287","0","NULL","NULL","31797","3001","2466","904"
"67","67","1.586127e+12","47806","4934","135","0","147718","0","NULL","NULL","39814","3706","3197","1089"
"68","68","1.586213e+12","51608","5373","135","0","157229","0","NULL","NULL","42990","3961","3499","1158"
"69","69","1.5863e+12","55242","6159","0","0","157939","0","213181","266694","42990","3961","3499","1158"
"70","70","1.586386e+12","60733","7097","135","0","171935","0","232708","282074","50756","4565","4073","1339"
"71","71","1.586473e+12","65077","7978","135","0","178344","0","243421","298169","54554","4957","4089","1477"
"72","72","1.586559e+12","73758","8958","135","0","182847","0","256605","316836","58817","5275","4591","1589"
"73","73","1.586645e+12","78991","9875","344","0","190607","0","269598","334974","62658","5590","4930","1717"
"74","74","1.586732e+12","84279","10612","344","0","198095","0","282374","350575","66330","5912","5297","1806"
"75","75","1.586818e+12","88621","11329","344","0","202099","0","290720","367667","69329","6067","5610","1882"
"76","76","1.586905e+12","93873","12107","344","0","208726","0","302599","382650","73183","5848","5610","1967"
"77","77","1.586991e+12","98476","12868","344","0","215293","0","313769","398916","76371","6748","6118","2088"
"78","78","1.587077e+12","103093","13729","344","0","224515","0","327608","417649","79489","7102","6401","2201"
"79","79","1.587164e+12","108692","14576","344","0","232859","0","341551","438991","83474","7409","6645","2338"
"80","80","1.58725e+12","114217","15464","344","0","242806","0","357023","460437","83474","7409","6645","2338"
"81","81","1.587337e+12","120064","16060","344","0","252903","0","372967","482063","87022","7820","6936","2486"
"82","82","1.587423e+12","124743","16509","344","0","261301","0","386044","501379","93030","8450","7546","2728"
