id,date,confirmed,death,cured,serious,negative,suspected,tested,test_done,england,scotland,wales,nireland
73,1586,7899,9875,344,0,1906,0,269598.0,334974.0,62658.0,5590.0,4930.0,1717.0
74,1586,8427,1061,344,0,1980,0,282374.0,350575.0,66330.0,5912.0,5297.0,1806.0
75,1586,8862,1132,344,0,2020,0,290720.0,367667.0,69329.0,6067.0,5610.0,1882.0
76,1586,9387,1210,344,0,2087,0,302599.0,382650.0,73183.0,5848.0,5610.0,1967.0
77,1586,9847,1286,344,0,2152,0,313769.0,398916.0,76371.0,6748.0,6118.0,2088.0
78,1587,1030,1372,344,0,2245,0,327608.0,417649.0,79489.0,7102.0,6401.0,2201.0
79,1587,1086,1457,344,0,2328,0,341551.0,438991.0,83474.0,7409.0,6645.0,2338.0
80,1587,1142,1546,344,0,2428,0,357023.0,460437.0,83474.0,7409.0,6645.0,2338.0
81,1587,1200,1606,344,0,2529,0,372967.0,482063.0,87022.0,7820.0,6936.0,2486.0
82,1587,1247,1650,344,0,2613,0,386044.0,501379.0,93030.0,8450.0,7546.0,2728.0
83,1587,1290,1733,344,0,2686,0,397670.0,535342.0,93030.0,8450.0,7546.0,2728.0
